режим,зони,връзки,интервал_s,публикувани,проби,таймаути,загуби_%,publish_p50,publish_p95,orion_p50,orion_p95,orion_p99,crate_p50,crate_p95,crate_p99,backlog_p50,backlog_p95,разделителна_ms
без разсейване,50,50,10.0,3001,600,0,0.0,1.2,1.9,114.5,118.6,121.6,118.9,128.5,882.4,4.2,7.5,100.0
разсеян,3,3,10.0,179,35,0,0.0,1.2,1.4,115.4,118.0,118.6,647.8,1006.5,1151.7,531.1,890.1,100.0
разсеян,3,1,10.0,18,9,0,0.0,1.2,1.4,114.3,116.6,116.9,761.8,2097.9,2640.1,645.7,1984.3,100.0
разсеян,10,10,10.0,600,117,0,0.0,1.2,1.8,115.4,118.1,119.1,428.6,1170.1,1462.7,319.6,1053.0,100.0
разсеян,25,25,10.0,1505,297,0,0.0,1.2,1.9,114.8,118.0,119.3,434.2,1369.7,1786.8,318.5,1254.1,100.0
разсеян,50,50,10.0,3013,594,0,0.0,1.2,2.2,114.2,119.3,134.0,218.0,4077.3,5130.8,104.7,3967.6,100.0
разсеян,100,100,10.0,6001,1176,461,39.2,1.0,3.6,85722.7,88325.4,88828.9,84574.4,88336.2,88914.0,4.4,7265.0,100.0
