зона,начало,продълж_min,подаден_обем_L,среден_дебит_Lmin,влажност_преди_%,влажност_след_45min_%,прираст_пункта,следващо_състояние
urn:ngsi-ld:Zone:003,2026-08-14 02:00,2.0,0.003,0.0,29.9,30.4,0.5,LOCKOUT
urn:ngsi-ld:Zone:003,2026-08-14 03:00,2.0,0.0,0.0,30.3,29.7,-0.6,LOCKOUT
urn:ngsi-ld:Zone:003,2026-08-14 05:01,2.0,0.0,0.0,30.1,31.0,0.9,LOCKOUT
urn:ngsi-ld:Zone:003,2026-08-16 02:00,2.0,0.01,0.0,29.0,28.9,-0.1,LOCKOUT
urn:ngsi-ld:Zone:003,2026-08-16 03:00,2.0,0.0,0.0,29.1,28.6,-0.5,LOCKOUT
urn:ngsi-ld:Zone:003,2026-08-16 05:01,2.0,0.0,0.0,29.1,85.4,56.3,LOCKOUT
urn:ngsi-ld:Zone:003,2026-08-30 02:00,2.0,0.0,0.08,27.4,27.6,0.2,LOCKOUT
urn:ngsi-ld:Zone:003,2026-08-30 04:00,2.0,0.0,0.0,27.5,27.7,0.2,LOCKOUT
