wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788197052.865,SynthZone:0003,2,1.3,113.2,2775.7,2662.5
1788197053.967,SynthZone:0001,2,1.3,112.1,643.2,531.1
1788197054.966,SynthZone:0002,2,1.3,115.8,337.8,222.0
1788197071.067,SynthZone:0003,4,0.8,113.6,971.5,858.0
1788197074.085,SynthZone:0001,4,1.4,116.1,761.8,645.7
1788197075.175,SynthZone:0002,4,1.3,114.8,546.1,431.2
1788197091.175,SynthZone:0003,6,0.9,114.3,1081.2,967.0
1788197094.179,SynthZone:0001,6,1.1,116.9,865.4,748.4
1788197095.173,SynthZone:0002,6,1.1,112.1,537.7,425.7
