wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788200108.948,SynthZone:0036,5,2.2,29258.5,29261.5,3.0
1788200108.95,SynthZone:0006,5,0.9,29190.5,29193.9,3.4
1788200108.965,SynthZone:0089,5,1.7,27678.0,29853.8,2175.8
1788200108.971,SynthZone:0014,5,1.1,27745.7,27748.4,2.8
1788200108.991,SynthZone:0092,5,0.9,26483.2,31731.8,5248.6
1788200109.003,SynthZone:0054,5,0.5,26889.8,31194.2,4304.4
1788200109.009,SynthZone:0053,5,0.8,28243.5,30531.8,2288.3
1788200109.01,SynthZone:0081,5,0.7,25997.3,31259.3,5262.0
1788200109.022,SynthZone:0035,5,1.3,27607.2,27613.3,6.1
1788200109.031,SynthZone:0049,5,1.4,27502.7,27509.6,6.9
1788200110.001,SynthZone:0097,5,0.9,29000.0,30049.6,1049.6
1788200110.961,SynthZone:0062,5,1.1,27669.0,29656.3,1987.2
1788200110.971,SynthZone:0016,5,1.4,27833.2,27837.3,4.1
1788200111.054,SynthZone:0083,5,1.0,29336.6,31447.3,2110.7
1788200111.993,SynthZone:0080,5,2.2,28809.9,31850.5,3040.6
1788200112.011,SynthZone:0060,5,0.8,27604.0,29607.5,2003.5
1788200112.017,SynthZone:0041,5,1.9,27692.0,27694.7,2.7
1788200112.081,SynthZone:0098,5,1.0,27298.7,30360.1,3061.4
1788200114.046,SynthZone:0056,5,1.1,27607.9,32655.9,5048.0
1788200116.157,SynthZone:0055,5,0.7,26715.7,33843.9,7128.2
1788200116.162,SynthZone:0051,5,1.0,26722.3,33845.1,7122.8
1788200118.078,SynthZone:0015,10,1.4,115.7,120.0,4.3
1788200118.225,SynthZone:0067,5,1.0,27804.6,35054.2,7249.6
1788200118.267,SynthZone:0079,5,1.1,27722.8,34927.7,7204.9
1788200119.298,SynthZone:0074,5,2.2,28534.1,35835.2,7301.1
1788200121.484,SynthZone:0019,10,1.0,112.9,115.5,2.6
1788200121.496,SynthZone:0020,10,1.0,114.0,117.9,3.9
1788200121.557,SynthZone:0038,10,0.4,109.8,114.7,4.9
1788200122.262,SynthZone:0022,10,1.1,113.1,117.5,4.5
1788200122.544,SynthZone:0045,10,0.6,110.0,116.3,6.3
1788200122.572,SynthZone:0001,10,0.5,111.0,115.4,4.4
1788200122.732,SynthZone:0018,10,1.4,125.6,132.9,7.4
1788200122.841,SynthZone:0005,10,5.1,125.2,131.3,6.1
1788200123.025,SynthZone:0031,10,3.2,117.3,122.0,4.6
1788200123.048,SynthZone:0029,10,0.4,109.4,114.2,4.8
1788200123.335,SynthZone:0048,10,1.3,117.1,123.5,6.4
1788200169.166,SynthZone:0068,10,1.5,117.3,55993.4,55876.1
1788200169.185,SynthZone:0084,10,1.1,116.3,48294.9,48178.5
1788200169.191,SynthZone:0030,10,1.7,45675.5,45677.8,2.3
1788200174.299,SynthZone:0072,10,0.8,110.7,51921.7,51810.9
1788200177.384,SynthZone:0086,10,1.1,114.8,54243.1,54128.3
1788200178.446,SynthZone:0063,10,10.0,50726.6,54869.3,4142.7
1788200186.754,SynthZone:0059,10,1.2,116.8,67252.3,67135.5
1788200186.849,SynthZone:0085,10,0.7,108.5,66641.2,66532.7
1788200188.789,SynthZone:0061,10,1.0,53797.8,65199.7,11401.9
1788200188.791,SynthZone:0078,10,2.1,121.0,65447.0,65326.0
1788200188.794,SynthZone:0046,10,1.1,64688.6,64690.6,2.0
1788200188.797,SynthZone:0017,10,0.5,64242.3,64244.6,2.3
1788200188.802,SynthZone:0096,10,3.0,119.7,67137.1,67017.4
1788200188.804,SynthZone:0090,10,1.0,64116.8,64118.8,2.1
1788200188.809,SynthZone:0099,10,0.4,64091.2,64093.9,2.7
1788200188.81,SynthZone:0087,10,0.8,54783.2,65144.0,10360.8
1788200188.814,SynthZone:0092,10,0.9,63961.2,63963.7,2.5
1788200188.819,SynthZone:0011,10,1.4,63707.2,63709.5,2.3
1788200188.822,SynthZone:0073,10,0.9,45685.7,65338.7,19653.0
1788200188.824,SynthZone:0028,10,1.5,63583.9,63585.8,1.8
1788200188.829,SynthZone:0040,10,0.9,63238.3,63240.2,1.9
1788200188.834,SynthZone:0037,10,0.8,63133.0,63134.8,1.8
1788200188.838,SynthZone:0094,10,2.0,62951.3,62953.6,2.4
1788200188.841,SynthZone:0095,10,1.2,45659.8,65307.6,19647.8
1788200188.845,SynthZone:0024,10,2.3,62954.6,62957.1,2.5
1788200188.846,SynthZone:0023,10,0.4,62795.4,62797.8,2.4
1788200188.851,SynthZone:0066,10,0.5,62711.7,62714.1,2.3
1788200188.853,SynthZone:0006,10,2.1,62532.9,62535.9,3.0
1788200188.858,SynthZone:0069,10,0.6,63010.3,65111.6,2101.4
1788200188.859,SynthZone:0025,10,1.0,62130.6,62133.3,2.7
1788200188.861,SynthZone:0009,10,0.6,62508.1,62513.5,5.4
1788200188.865,SynthZone:0050,10,2.3,61995.8,61998.2,2.4
1788200188.869,SynthZone:0033,10,0.5,61948.5,61951.5,3.1
1788200188.875,SynthZone:0091,10,1.0,61855.8,61858.4,2.6
1788200188.881,SynthZone:0013,10,1.0,61763.8,61766.2,2.4
1788200188.885,SynthZone:0004,10,0.4,61696.0,61698.0,2.0
1788200188.89,SynthZone:0039,10,0.4,61682.6,61684.7,2.1
1788200188.895,SynthZone:0008,10,0.5,61675.2,61676.9,1.7
1788200189.796,SynthZone:0052,10,0.5,63084.3,66022.2,2937.9
1788200189.811,SynthZone:0034,10,0.6,62289.1,62293.4,4.3
1788200190.9,SynthZone:0088,10,0.9,64213.9,66316.7,2102.7
1788200190.916,SynthZone:0032,10,1.1,63302.7,63309.7,7.1
1788200190.925,SynthZone:0083,10,1.1,63202.5,63207.0,4.4
1788200190.935,SynthZone:0007,10,0.5,63057.4,63061.3,3.8
1788200190.945,SynthZone:0054,10,0.7,62905.2,62910.6,5.4
1788200190.956,SynthZone:0042,10,0.4,62877.6,62881.8,4.2
1788200190.966,SynthZone:0064,10,0.4,62868.4,62872.4,4.0
1788200190.975,SynthZone:0070,10,0.9,62790.3,62793.8,3.5
1788200190.984,SynthZone:0010,10,6.1,62793.6,62796.9,3.3
1788200190.994,SynthZone:0002,10,1.3,62640.9,62644.9,4.0
1788200191.006,SynthZone:0026,10,0.6,62514.0,62518.7,4.7
1788200191.019,SynthZone:0012,10,1.2,62360.8,62369.2,8.5
1788200191.032,SynthZone:0089,10,1.1,62376.6,62381.4,4.7
1788200191.044,SynthZone:0036,10,0.9,62297.4,62301.2,3.8
1788200191.053,SynthZone:0058,10,0.8,62255.5,62259.5,4.0
1788200191.062,SynthZone:0082,10,3.0,62163.9,62167.8,3.9
1788200191.072,SynthZone:0047,10,1.0,62017.0,62020.7,3.7
1788200191.081,SynthZone:0097,10,1.5,62014.1,62017.3,3.2
1788200191.088,SynthZone:0044,10,1.2,61769.8,61771.9,2.1
1788200191.092,SynthZone:0081,10,1.9,61758.0,61760.0,2.0
1788200191.097,SynthZone:0027,10,1.4,61560.5,61562.5,2.0
1788200191.102,SynthZone:0043,10,0.9,60872.6,60874.7,2.1
1788200191.107,SynthZone:0021,10,0.9,60853.8,60855.7,1.8
1788200191.112,SynthZone:0053,10,2.0,60403.3,60405.2,1.9
1788200191.117,SynthZone:0051,10,0.9,59665.6,59667.6,2.0
1788200191.122,SynthZone:0041,10,4.9,59332.0,59334.0,2.0
1788200191.127,SynthZone:0035,10,1.3,59166.5,59168.6,2.1
1788200193.099,SynthZone:0057,10,1.0,63824.4,68110.5,4286.1
1788200193.127,SynthZone:0065,10,0.4,64069.6,68389.1,4319.5
1788200193.14,SynthZone:0100,10,0.7,60557.6,60562.9,5.3
1788200193.153,SynthZone:0003,10,0.8,59977.1,59983.1,6.1
1788200195.078,SynthZone:0071,10,2.7,63529.7,69782.4,6252.7
1788200195.088,SynthZone:0016,10,0.7,61468.2,61472.7,4.4
1788200195.15,SynthZone:0055,10,1.5,59569.7,61559.1,1989.4
1788200195.165,SynthZone:0014,10,0.9,60980.1,60985.7,5.6
1788200198.289,SynthZone:0093,10,1.6,62126.7,71551.9,9425.2
1788200198.292,SynthZone:0077,10,0.5,61909.6,71333.6,9424.0
1788200198.304,SynthZone:0079,10,3.6,63912.3,63917.0,4.7
1788200198.306,SynthZone:0080,10,1.2,60811.8,63945.1,3133.3
1788200199.318,SynthZone:0075,10,0.6,62258.7,71759.9,9501.1
1788200199.324,SynthZone:0049,10,0.8,63081.7,63084.2,2.5
1788200199.341,SynthZone:0076,10,1.1,61383.8,71827.3,10443.4
1788200199.356,SynthZone:0067,10,0.4,62199.7,63243.2,1043.5
1788200199.362,SynthZone:0015,15,0.5,30736.2,30738.5,2.3
1788200199.367,SynthZone:0019,15,1.0,30557.3,30559.5,2.2
1788200202.429,SynthZone:0056,10,1.0,60847.8,70170.9,9323.1
1788200202.449,SynthZone:0062,10,4.0,59140.1,70459.4,11319.3
