wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788200880.887,SynthZone:0045,10,1.3,115.5,119.7,4.3
1788200881.009,SynthZone:0046,10,1.5,115.8,120.1,4.4
1788200881.331,SynthZone:0001,10,1.5,115.1,118.5,3.3
1788200881.372,SynthZone:0042,10,1.4,115.0,119.3,4.3
1788200881.413,SynthZone:0047,10,1.3,115.5,119.6,4.2
1788200881.77,SynthZone:0011,10,1.6,119.0,122.8,3.8
1788200882.034,SynthZone:0021,10,1.7,115.7,122.3,6.5
1788200882.038,SynthZone:0012,10,2.9,118.6,125.0,6.5
1788200922.511,SynthZone:0007,15,1.5,114.6,474.2,359.6
1788200922.854,SynthZone:0004,15,1.7,114.2,118.7,4.5
1788200922.935,SynthZone:0002,15,1.7,114.3,118.3,4.0
1788200923.362,SynthZone:0016,15,1.5,115.1,118.8,3.7
1788200923.382,SynthZone:0043,15,2.4,125.2,129.3,4.1
1788200923.448,SynthZone:0010,15,0.4,109.6,114.2,4.6
1788200924.13,SynthZone:0032,15,0.9,112.4,117.1,4.7
1788200924.179,SynthZone:0005,15,1.5,112.9,115.9,3.0
1788200924.575,SynthZone:0044,15,1.8,113.3,115.4,2.1
1788200924.773,SynthZone:0023,15,1.5,116.3,120.8,4.5
1788200924.933,SynthZone:0048,15,1.3,118.4,128.1,9.7
1788200925.035,SynthZone:0009,15,1.4,115.6,119.0,3.3
1788200925.036,SynthZone:0008,15,4.3,118.4,120.9,2.6
1788200925.043,SynthZone:0037,15,2.7,114.7,116.8,2.1
1788200925.27,SynthZone:0015,15,0.7,114.4,118.2,3.8
1788200925.615,SynthZone:0028,15,1.1,117.5,121.0,3.6
1788200925.712,SynthZone:0019,15,0.8,112.7,116.4,3.7
1788200925.742,SynthZone:0038,15,1.3,113.5,118.0,4.5
1788200925.989,SynthZone:0006,15,2.1,116.9,121.2,4.4
1788200926.295,SynthZone:0027,15,1.9,116.5,122.1,5.6
1788200926.384,SynthZone:0013,15,1.8,117.0,120.7,3.7
1788200926.405,SynthZone:0024,15,0.9,114.6,119.5,4.9
1788200926.85,SynthZone:0035,15,1.3,115.4,119.4,4.0
1788200927.104,SynthZone:0050,15,1.3,115.5,119.9,4.4
1788200927.184,SynthZone:0036,15,1.7,115.5,119.3,3.7
1788200927.225,SynthZone:0049,15,1.8,114.9,119.5,4.6
1788200927.376,SynthZone:0041,15,1.6,114.0,118.3,4.3
1788200927.57,SynthZone:0020,15,0.8,108.1,110.3,2.2
1788200927.588,SynthZone:0033,15,0.5,107.2,109.2,2.0
1788200927.794,SynthZone:0031,15,0.6,108.5,112.2,3.7
1788200927.991,SynthZone:0014,15,0.9,113.5,117.4,3.8
1788200928.144,SynthZone:0030,15,1.3,115.0,119.5,4.5
1788200928.164,SynthZone:0026,15,1.1,113.7,118.3,4.6
1788200928.666,SynthZone:0018,15,0.9,111.8,114.4,2.6
1788200929.331,SynthZone:0029,15,0.9,116.6,120.8,4.2
